Population_Type,Population_Name,Latitude_(DegreesN),Longitude_(DegreesE),Ovary Width_(mm),Ovary Height_(mm),Average_August_Temperature_(DegreesC),Flower_Number,i,j,k,l,m,n,o,p,q,r,s
A,MI M2,43.264484,-84.884204,3.6235,3.4797,21,,,,,,,,,,,,
A,MI M3,45.614999,-84.688923,3.6085,3.5905,18.3,,,,,,,,,,,,
A,MI M5,42.418144,-84.012776,2.98345454545455,2.677,20.8,,,,,,,,,,,,
A,MI M7,45.622614,-84.705015,3.4775,4.0784,18.2,,,,,,,,,,,,
A,MI M8,43.350134,-85.934836,3.4264,2.9444,20.1,,,,,,,,,,,,
A,MI M9,45.600475,-84.709114,3.8719,3.1111,18.2,,,,,,,,,,,,
A,ON M1,44.98755,-78.66669,3.36035,3.28173684210526,19.1,47.6774193548387,,,,,,,,,,,
A,ON M11,45.30098,-76.83024,3.61752830188679,2.85596226415094,20.3,52.59375,,,,,,,,,,,
A,ON M12,44.112232,-79.546395,3.55326315789474,2.874,20.2,89,,,,,,,,,,,
A,ON M13,44.419473,-79.670619,3.39016666666667,3.1738,19.8,46.5454545454545,,,,,,,,,,,
A,ON M14,44.991645,-79.739903,3.43302380952381,2.5725,19.6,13,,,,,,,,,,,
A,ON M15,45.90065,-82.25621,3.40625806451613,3.7451935483871,19.1,65.5483870967742,,,,,,,,,,,
A,ON M16,45.9982,-77.42983,3.41727272727273,3.11281818181818,19.5,56.6896551724138,,,,,,,,,,,
A,ON M2,44.90349,-79.3555,3.14365,2.56915,19.1,13.9459459459459,,,,,,,,,,,
A,ON M3,44.19519,-79.20264,3.3256,3.1878,19.6,28.92,,,,,,,,,,,
A,ON M4,43.877547,80.104794,3.2453,3.25305,20,12.4,,,,,,,,,,,
A,ON M5,44.81551,-78.77971,3.02226315789474,2.69768421052632,19.3,28.6,,,,,,,,,,,
A,ON M6,45.11361,-78.83654,3.40684615384615,2.6705641025641,19.4,14.0689655172414,,,,,,,,,,,
A,ON M7,44.90395,-79.31155,2.93663333333333,2.79026666666667,19.2,,,,,,,,,,,,
A,ON M8,45.257674,-75.740428,3.43528571428571,3.24110714285714,20.4,65.3928571428571,,,,,,,,,,,
A,ON M9,45.40233,-75.97514,3.9117,3.2992,20.4,36.84375,,,,,,,,,,,
A,QC M1,45.63387,-76.19153,3.31459090909091,2.91609090909091,20.1,97.3913043478261,,,,,,,,,,,
S,EO T1,44.507048,-76.410857,3.1892,2.74409090909091,21,,,,,,,,,,,,
S,EO T11,44.572225,-76.340171,3.55886274509804,2.9426862745098,20.9,,,,,,,,,,,,
S,EO T7,44.581735,-76.32988,3.40886486486486,3.06263513513514,20.9,,,,,,,,,,,,
S,EO T8,44.539621,-76.198596,3.7959,2.80115,19.1,,,,,,,,,,,,
S,MI T11,44.694783,-85.812452,3.44645714285714,3.66348571428571,19.4,,,,,,,,,,,,
S,MI T2,42.20899,-84.308587,3.57946666666667,3.41313333333333,21.3,,,,,,,,,,,,
S,MI T4,42.194018,-84.342702,4.17277419354839,3.11229032258065,21.1,,,,,,,,,,,,
S,ON D10,46.29137,-78.87418,2.84889552238806,2.63967164179104,19.2,21.5757575757576,,,,,,,,,,,
S,ON D2,44.106442,-78.889418,3.56798571428571,2.98752857142857,19.6,49,,,,,,,,,,,
S,ON D3,45.028114,-78.848784,2.60746153846154,2.17392307692308,19.1,,,,,,,,,,,,
S,ON D4,44.539476,-81.246161,3.88243636363636,2.94758181818182,19.3,,,,,,,,,,,,
S,ON D5,44.098944,-78.327947,3.31827027027027,2.95731081081081,19.6,141.448275862069,,,,,,,,,,,
S,ON D7,44.85286,-76.19978,3.41283333333333,3.14761111111111,20.4,149.161290322581,,,,,,,,,,,
S,ON D8,44.9654,-76.85036,3.65225641025641,3.16074358974359,20.3,56.5555555555556,,,,,,,,,,,
S,ON D9,43.858949,-78.841404,3.42585,2.70476666666667,20.4,181.764705882353,,,,,,,,,,,
S,ON T10,44.091036,-78.305552,3.67720408163265,2.93902040816327,20,,,,,,,,,,,,
S,ON T12,45.25433,-74.71934,3.70944,3.10574,20.4,71.5483870967742,,,,,,,,,,,
S,ON T13,45.13526,-76.64032,3.225046875,3.40565625,20.3,25.9142857142857,,,,,,,,,,,
S,ON T14,43.966132,-77.034902,3.18471875,2.4646875,20.9,39.5,,,,,,,,,,,
S,ON T15,43.417779,-80.262223,3.15910416666667,2.66527083333333,20,,,,,,,,,,,,
S,ON T16,44.902138,-75.869711,3.335525,3.1147,20.5,45.3,,,,,,,,,,,
S,ON T3,43.208479,-80.650368,3.34750793650794,2.83325806451613,19.6,,,,,,,,,,,,
S,ON T7,42.048913,-83.105786,3.77513043478261,3.17658695652174,21.6,,,,,,,,,,,,
S,ON T8,42.257288,-81.858797,3.29549180327869,2.8834262295082,20.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,"                                                                                                                                             It's lame and counter-productive to upload your data to an AI bot. Luckily, you know better.",,,,,,,,,,,,
